,id,location,fault_severity,severity_type,resource_type,log_feature,volume,event_type
0,14121,location 118,1,severity_type 2,resource_type 2,feature 312,19,event_type 34
1,9320,location 91,0,severity_type 2,resource_type 2,feature 315,200,event_type 34
2,14394,location 152,1,severity_type 2,resource_type 2,feature 221,1,event_type 35
3,8218,location 931,1,severity_type 1,resource_type 8,feature 80,9,event_type 15
4,14804,location 120,0,severity_type 1,resource_type 2,feature 134,1,event_type 34
5,1080,location 664,0,severity_type 1,resource_type 8,feature 171,8,event_type 11
6,9731,location 640,0,severity_type 4,resource_type 2,feature 374,3,event_type 50
7,15505,location 122,0,severity_type 2,resource_type 2,feature 235,1,event_type 34
8,3443,location 263,1,severity_type 2,resource_type 2,feature 312,1,event_type 34
9,13300,location 613,1,severity_type 1,resource_type 8,feature 71,1,event_type 54
10,8976,location 760,1,severity_type 1,resource_type 8,feature 136,1,event_type 11
11,7965,location 519,0,severity_type 2,resource_type 2,feature 312,1,event_type 34
12,10342,location 746,0,severity_type 1,resource_type 2,feature 134,3,event_type 11
13,6741,location 1066,1,severity_type 1,resource_type 8,feature 68,5,event_type 11
14,7187,location 812,0,severity_type 1,resource_type 8,feature 167,5,event_type 11
15,16780,location 343,0,severity_type 2,resource_type 2,feature 232,1,event_type 34
16,14195,location 133,0,severity_type 2,resource_type 2,feature 312,1,event_type 35
17,14025,location 976,0,severity_type 1,resource_type 8,feature 82,6,event_type 54
18,8548,location 948,1,severity_type 1,resource_type 8,feature 163,2,event_type 11
19,9566,location 808,0,severity_type 1,resource_type 8,feature 71,4,event_type 11
20,15652,location 894,0,severity_type 1,resource_type 2,feature 378,6,event_type 44
21,3931,location 875,0,severity_type 1,resource_type 8,feature 202,2,event_type 11
22,4557,location 1024,0,severity_type 2,resource_type 8,feature 73,1,event_type 11
23,3610,location 166,0,severity_type 4,resource_type 2,feature 312,1,event_type 35
24,16574,location 687,0,severity_type 4,resource_type 8,feature 54,1,event_type 11
25,7504,location 1016,1,severity_type 1,resource_type 8,feature 170,1,event_type 11
26,9735,location 707,0,severity_type 2,resource_type 8,feature 193,4,event_type 15
27,14048,location 978,1,severity_type 1,resource_type 8,feature 201,2,event_type 15
28,6769,location 775,0,severity_type 1,resource_type 8,feature 203,3,event_type 15
29,2514,location 829,0,severity_type 2,resource_type 8,feature 55,5,event_type 11
30,896,location 732,0,severity_type 1,resource_type 8,feature 55,1,event_type 11
31,4757,location 508,0,severity_type 2,resource_type 2,feature 312,7,event_type 35
32,16358,location 257,1,severity_type 1,resource_type 2,feature 134,1,event_type 20
33,11810,location 116,0,severity_type 2,resource_type 2,feature 232,2,event_type 34
34,7274,location 830,1,severity_type 1,resource_type 8,feature 68,1,event_type 11
35,2972,location 491,0,severity_type 2,resource_type 2,feature 235,2,event_type 34
36,7392,location 253,0,severity_type 2,resource_type 2,feature 232,2,event_type 35
37,6824,location 740,0,severity_type 2,resource_type 8,feature 195,1,event_type 11
38,4311,location 704,2,severity_type 1,resource_type 8,feature 74,1,event_type 15
39,12261,location 1089,2,severity_type 1,resource_type 8,feature 170,11,event_type 11
40,14752,location 653,0,severity_type 2,resource_type 8,feature 76,1,event_type 11
41,14992,location 600,2,severity_type 2,resource_type 8,feature 203,1,event_type 15
42,967,location 892,2,severity_type 1,resource_type 2,feature 291,5,event_type 42
43,8059,location 802,0,severity_type 4,resource_type 7,feature 306,2,event_type 23
44,13406,location 794,0,severity_type 1,resource_type 4,feature 163,3,event_type 14
45,11424,location 477,0,severity_type 2,resource_type 2,feature 235,1,event_type 35
46,3945,location 684,2,severity_type 2,resource_type 8,feature 71,1,event_type 15
47,10351,location 895,2,severity_type 1,resource_type 2,feature 375,49,event_type 42
